fold,model,calibration,success,rank_violations,calibrated_ties,spearman_raw_calibrated,intercept,coef,a,b_raw,n_thresholds,theta,alpha,beta_inner,b,nll_fit,aic,bic,lambda_left,lambda_right,selection_logloss,method,lambda1,lambda0,penalty,outer_penalty,status,message,n_iter,objective,gradient_norm,boundary_hit,selected_penalty
4,lightgbm,opbgb_symmetric_monotone,True,0,1386,0.9999999999999999,,,1.2099638607338243,,,-3.102115055973308,,,1.060631559033249,,,,,,0.0916706102350868,monotone_opbgb_symmetric,1.0000790180977295,1.0000790180977295,0.1,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,0.08544291305621643,1.081906380436965e-06,False,0.1
4,lightgbm,opbgb_two_sided_monotone,True,0,1386,0.9999999999999999,,,1.118775815731204,,,-3.1039533434715665,,,1.0269993222591953,,,,,,0.09165695389627843,monotone_opbgb_two_sided,1.0827652665397367,1.0329037351623054,0.0,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,0.08544216249347868,8.143964888778306e-06,False,0.0
4,lightgbm,nested_selected,True,0,1386,0.9999999999999999,,,1.118775815731204,,,-3.1039533434715665,,,1.0269993222591953,,,,,,0.09165695389627843,monotone_opbgb_two_sided,1.0827652665397367,1.0329037351623054,0.0,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,0.08544216249347868,8.143964888778306e-06,False,0.0
4,xgboost,raw,True,0,1380,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,xgboost,platt,True,0,1380,1.0,-0.3361667280868326,1.1176237297780576,,,,,,,,,,,,,,,,,,,,,,,,,
4,xgboost,beta,True,0,1380,1.0,-0.3948479196669824,,1.1002803203435039,-1.1834310573881606,,,,,,,,,,,,,,,,,,,,,,,
4,xgboost,isotonic,True,0,49815,0.9889256873095393,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,
4,xgboost,bgb,True,0,1380,1.0,,,0.24850461692544665,,,0.048252556003578535,4.88674660062607,0.8835529341069569,1.4785616070282621,1563.7842647919038,3137.5685295838075,3177.0859673464884,,,,,,,,,,,,,,,
4,xgboost,opbgb_symmetric,True,0,1380,1.0,,,,,,,,,,,,,0.5,0.5,0.08806253468149357,,,,,,,,,,,,
4,xgboost,opbgb_two_sided_unconstrained,True,0,1380,1.0,,,,,,,,,,,,,0.35,0.25,0.08770270838131698,,,,,,,,,,,,
4,xgboost,opbgb_symmetric_monotone,True,0,1380,1.0,,,7.167044319021294,,,-0.7861232041109012,,,7.38905609893065,,,,,,0.08831243356165804,monotone_opbgb_symmetric,0.14043304765188888,0.14043304765188888,0.0,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26.0,0.08305573753018494,0.0007767060313528766,True,0.0
4,xgboost,opbgb_two_sided_monotone,True,0,1380,1.0,,,3.784149292156163,,,0.8589309229722156,,,1.7760775837325833,,,,,,0.08838688542937716,monotone_opbgb_two_sided,0.3465699193066584,0.3334220831385767,0.0,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41.0,0.08285879335895678,4.0626571325953735e-06,False,0.0
4,xgboost,nested_selected,True,0,1380,1.0,,,3.784149292156163,,,0.8589309229722156,,,1.7760775837325833,,,,,,0.08838688542937716,monotone_opbgb_two_sided,0.3465699193066584,0.3334220831385767,0.0,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41.0,0.08285879335895678,4.0626571325953735e-06,False,0.0
